,names_2,link_CU,research_interest,pernames,subfaculty,faculty
81,Ali Hossain Alewai Daraji,https://pureportal.coventry.ac.uk/en/persons/ali-hossain-alewai-daraji,"Research Interests: Ali Daraji is interseted in modelling of passive and smart structures using finite element, ANSYS simulation and experimental methods to investigate: 
1. Active vibration control of flexible structures by optimally placed of discrete piezoelectric sensors and actuators using genetic algorithms. 
2. Optimisation of energy harvesting from structural vibration.
3. Cracks and damage detection in concrete, composite and steel structures using ultrasonic waves and wave propagation.
4. Optimal placement of discrete piezoeelectric sensors and actuators using genetic algorithms and developed methodologies for active vibration control, energy harvesting and structure health monitoring. 
 
Selected published papers 
Daraji, A. H., J. M. Hale, and J. Ye, New methodology for optimal placement of piezoelectric sensor/actuator pairs for active vibration control of flexible structures. Journal of Vibration and Acoustic transactions of the ASME, 2018, v.140(1),01105-13 
Daraji, A. H. and J. Ye, Optimisation of energy harvesting for stiffened composite shells with application to the aircarft wing at structural flight frequency, 20ICCS, Pairs,2017. 
Daraji, A. H. and J. Ye, Energy harvesting of composite cantilever beam mounted on flexible structures to protect piezoelectric sensor and maximisation of the output power,20ICCS,Pairs, 2017. 
Daraji, A. H. and J. M. Hale, Reduction of structural weight, costs and complexity of control system in active vibration reduction of flexible structures. Journal of Smart Materials and Structures. 2014,v.23, 115018.
Daraji, A. H. and J. M. Hale, Active vibration control by optimally placed piezoelectric sensors and actuators with application to stiffened plate by beams. Journal of Smart Materials and Structures, 2014, v.23, 115018.
Daraji, A. H. and J. M. Hale, Active vibration reduction of a flexible structure bonded with optimised piezoelectric pairs using half and quarter chromosomes in genetic algorithms. Journal of Physics,  Confrence series, 2012, 328(1). ",Ali Hossain Alewai Daraji,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
82,Marwan Darweish,https://pureportal.coventry.ac.uk/en/persons/marwan-darweish,Research Interests: Nonviolence; Peacebuilding; Popular protest; Conflict Transformation,,,
83,Robert Davies,https://pureportal.coventry.ac.uk/en/persons/robert-davies,"Research Interests: My interests include:
nutritional prevention and management of pathophysiologyhow nutrition may be used to enhance the -omics disciplines especially metabolomics maternal nutritional health and neonatal developmentthe provision of nutrition and fluids in palliative and end-of-life care, and the decision making process involved in this provisionpublic health nutrition including politcal, legal, and ethical aspects",Robert Davies,"School of Nursing, Midwifery and Health",Faculty of Health & Life Sciences
84,Siobhan Davies,https://pureportal.coventry.ac.uk/en/persons/siobhan-davies,Research Interests: Choreography; Presenting or performing dance in museum and gallery spaces; Interdisciplinary practice and collaborating across art forms; Work with dance and choreographic artists to expand the reach of their work,Siobhan Davies,Faculty Research Centre for Dance Research (CDaRE),Faculty of Arts & Humanities
85,Katharina Dehnen-Schmutz,https://pureportal.coventry.ac.uk/en/persons/katharina-dehnen-schmutz,"Research Interests: Ecology and environmental change
Biological invasions
Citizen science
Weed ecology",,,
86,Clair Dempsey,https://pureportal.coventry.ac.uk/en/persons/clair-dempsey,"Research Interests: women's health, endometriosis, adenomyosis, photovoice, co-creation, intervention development, patient involvement",Clair Dempsey,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
87,Nandu Devi,https://pureportal.coventry.ac.uk/en/persons/nandu-devi,"Research Interests: Research is currently oriented towards green supply chain management, its dynamic influences and capabilities with respect to effective change management under sustainability pressures such as normative. Geographically limited to the UK Food Supply Chain.",Nandu Devi,Faculty Research Centre for Business in Society,Faculty of Business & Law
88,Glauco De Vita,https://pureportal.coventry.ac.uk/en/persons/glauco-de-vita,Research Interests: FDI; Growth; Exchange rates; International trade; Outsourcing/off-shoring; International education; International tourism flows; The macro environment and macroeconomic policy,Glauco De Vita,Faculty Research Centre for Business in Society,Faculty of Business & Law
89,Micia De Wet,https://pureportal.coventry.ac.uk/en/persons/micia-de-wet,"Research Interests: Somatic practice, live performance, Practice-as-research, physical theatre, intuition, Postdramatic theatre.",Micia De Wet,Faculty Research Centre for Dance Research (CDaRE),Faculty of Arts & Humanities
90,Sunita Dewitt,https://pureportal.coventry.ac.uk/en/persons/sunita-dewitt,Research Interests: Marketing; Sustainability; Entrepreneurship; Economic Geography; International Business; Ethnic Entrepreneurship; Female Entrepreneurship; Travel and Tourism business sector,Sunita Dewitt,International Centre for Transformational Entrepreneurship,Faculty of Business & Law
91,Bastien Dieppois,https://pureportal.coventry.ac.uk/en/persons/bastien-dieppois,"Research Interests: -          Decadal variability and predictability of regional hydroclimates and extreme events
-          Understanding of internal climate modes of variability (ENSO, NAO, AMO), and their predictability
-          Non-stationary behaviour of land-atmosphere interactions
-          Statistical Regional climate modelling (downscaling)
-          Evaluation of Ocean-Atmosphere coupled climate model simulations
-          Hydrological Modelling",,,
92,Elisavet Dimitrokali,https://pureportal.coventry.ac.uk/en/persons/elisavet-dimitrokali,"Research Interests: I am an Assistant Professor in the Design Futures within the Faculty of Arts and Humanities. I am trained in Interior Architecture and Design with a PhD (in 2015) in Environment Impact Evaluation of Building Materials and Energy Systems.
I have worked for several years in academia and in the industry from where I gained a multi-disciplinary background and experience working in a wide range of projects across different sectors. User experience design and interaction, co-design and prototyping, public perception and behavioural change have been at the core of my research but I have always been interested in bringing methods from engineering into design; for example, using 6-Sigma problem solving from engineering to predict failure of design development and execution as well as to measure perception on aesthetic appearance and conduct design experiments to understand how different factors influence design or perception. I have also found it fascinating to use technologies to understand deeper perception like eye-tracking or gauges to measure specific attributes like softness and hardness, gaps and colour harmony in design.
My current research focus is on co-design, user experience and prototyping of products and technologies with applications in healthcare and wellbeing, in energy, buildings, and in automotive. Drawing on my background in design, environmental management, and product engineering, I work at the interface between design and product engineering to develop innovative strategies and practices that drive high impact solutions in people's lives. Within my existing role, my research interests for independent research lie in the field of smart textiles innovation for health and wellbeing and how we can apply such solutions into autonomous vehicles.  I am also interested in advancing Perceived Quality research of design and engineering products, moving away from the typical methods used. Beyond that, I am interested to be engaged in exploring how to influence strategic research decisions, policy, manage risk, and how to motivate investment in experiential product engineering.
Prior to my current role, I worked in Geely Design Automotive (2019-2020) as Design Quality Specialist of the new Lotus SUV and I was responsible for conducting benchmarking activities, customer research, leading design language theme development, and leading reviews with different stakeholders on improving the interior design quality from dimensional 3D models and clay models. Before, I worked in Jaguar Land Rover (2017-2019) as Pat Leader Engineer on surface materials for the following programme vehicles, Vellar, I-Pace, Discovery, and XFL China. I led a small team of three that focused on conducting customer studies, in doing benchmarking and evaluating customer preferences, I led the eye-tracking research in my departments and trained colleagues on how to use it and how to conduct studies with the technology. I also supervised 5 MSc students from WMG who had projects from the PQ department to improve and bring new dimensions into perceived quality. I also worked in material innovation supporting the CMF team in the development of new bio-based materials. For that, I was organising large stakeholder meetings with experts from engineering to review process development on a weekly basis.
Before working in the automotive, I was a Research Fellow in WMG within Warwick University, at the Sustainable Materials Group, and at the Experiential Engineering Group. I led the following research projects: Technology Strategy Board KTP with First Utility on Public’s perception on smart thermostats, Technology Strategy Board with JSJS on smart energy monitoring of office buildings in the campus, various projects under the EPSRC PHEE (Participation in Healthcare Engineering) like the co-design and prototyping of an assistive technology called KIOSK, that was piloted in healthcare environments to collect feedback in a creative way from end-users about transforming interior environments like waiting areas. I also led the GRP Energy-funded project called PVTRee: Imagining a 3D Solar Future (solar trees) in co-deigning and prototyping solar trees. One of the models was chosen by WMG to be 3D printed on a large scale and to be placed as the central piece at the Festival for the Imagination at Warwick University (2015). From all the projects that I was involved in, I have published research papers in journals and peered reviewed conference proceedings. From the PVTree project, I received high publicity and prize awards for my creativity and co-ordination of the festival piece. I was mentioned in Guardian News and was shortlisted to talk about co-creation in TEDx Leamington Spa. The project reached other Science Festivals and was introduced into schools as well. Here is a link to how this project came together https://animoto.com/play/W8SRTbBb0BvOT0mjTLh0Zg?autostart=1.  Can you imagine a 3D Solar Future charging our electric vehicles? I am interested to bring to life this project and I am looking for opportunities. My post-doctoral research career started in 2012 at Oxford Brookes University in the Low Carbon Group. I led the ESRC/RCUK Evaloc (Evaluation of Low Carbon Communities), in collaboration with the Environmental Change Institute of the University of Oxford. I was responsible for the Household Level Research of the project that looked to measure, monitor, and map the impacts and effectiveness of the low-carbon interventions applied in the 6 low carbon communities, both in the short and long term, from a technical and occupants’ perspective. Here you can find the elements of my study https://www.evaloc.org.uk/household-level-research . During my academic career, I was also involved in teaching and supervision.",Elisavet Dimitrokali,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
